IdSucursal;NroPago;LineaPago;FormaPago;ImportePago;Observaciones
5;1.0;1;Transferencia;76725.0;
5;2.0;1;Transferencia;730814.69;
5;2.0;2;Retencion;0.0;
5;3.0;1;Cheque;11185298.17;
5;3.0;2;Retencion;0.0;
5;4.0;1;Cheque;615679.98;
5;4.0;2;Retencion;0.0;
5;5.0;1;Cheque;307840.0;
5;5.0;2;Retencion;0.0;
2;6.0;1;Efectivo;64650.0;
2;6.0;2;Transferencia;6271994.14;
5;7.0;1;Cheque;3610946.73;
2;8.0;1;Efectivo;8820.5;
5;8.0;1;Cheque;982079.95;
2;9.0;1;Efectivo;4.0;
5;9.0;1;Transferencia;974419.58;
2;9.0;2;Cheque;26886.0;
2;9.0;3;Retencion;43.96;
2;10.0;1;Cheque;11197.43;
5;10.0;1;Cheque;195919.98;
2;11.0;1;Efectivo;4845.0;
5;11.0;1;Transferencia;1013396.34;
2;12.0;1;Cheque;6459.0;
5;12.0;1;Transferencia;946161.53;
2;13.0;1;Cheque;6243.0;
5;13.0;1;Cheque;307840.0;
2;14.0;1;Efectivo;2600.0;
5;14.0;1;Efectivo;364804.98;
2;14.0;2;Cheque;5443.88;
2;15.0;1;Efectivo;3660.0;
5;15.0;1;Cheque;329359.99;
2;16.0;1;Cheque;11455.26;
5;16.0;1;Cheque;1500000.0;
2;17.0;1;Cheque;28304.81;
5;17.0;1;Cheque;3518944.5;
2;17.0;2;Retencion;23.35;
2;18.0;1;Cheque;4090.65;
5;18.0;1;Cheque;3012226.67;
2;18.0;2;Retencion;6.77;
2;19.0;1;Cheque;3370.0;
5;19.0;1;Transferencia;1430799.97;
2;20.0;1;Cheque;2358.0;
5;20.0;1;Transferencia;1740404.93;
5;20.0;2;Retencion;24695.21;
2;21.0;1;Efectivo;5360.0;
5;21.0;1;Cheque;340720.04;
2;22.0;1;Efectivo;1390.72;
5;22.0;1;Transferencia;1013396.34;
2;23.0;1;Efectivo;1590.0;
5;23.0;1;Transferencia;494040.0;
2;23.0;2;Cheque;37215.27;
2;24.0;1;Efectivo;187.0;
5;24.0;1;Cheque;531860.0;
2;24.0;2;Cheque;44875.58;
2;24.0;3;Retencion;73.69;
2;25.0;1;Efectivo;4709.0;
5;25.0;1;Transferencia;946161.53;
2;26.0;1;Efectivo;2754.3;
5;26.0;1;Cheque;3667355.58;
2;27.0;1;Efectivo;8747.1;
5;27.0;1;Cheque;329359.99;
2;28.0;1;Cheque;18598.49;
5;28.0;1;Transferencia;1524042.3;
2;29.0;1;Efectivo;1060.0;
5;29.0;1;Cheque;520080.0;
2;29.0;2;Cheque;2960.14;
2;30.0;1;Efectivo;4000.0;
5;30.0;1;Cheque;332160.04;
2;31.0;1;Efectivo;513.0;
